sample_index,timestamp,eeg
578,1782309408.1338332,686
579,1782309408.1338346,197
580,1782309408.1338358,609
581,1782309408.1351368,251
582,1782309408.1351433,677
583,1782309408.1351452,200
584,1782309408.1351469,605
585,1782309408.135148,256
586,1782309408.1351495,670
587,1782309408.135151,208
588,1782309408.135152,598
589,1782309408.135154,258
590,1782309408.1351552,671
591,1782309408.2097838,207
592,1782309408.2097971,600
593,1782309408.2098005,262
594,1782309408.2098029,663
595,1782309408.209805,210
596,1782309408.2098742,593
597,1782309408.2098768,260
598,1782309408.209879,663
599,1782309408.2098813,211
600,1782309408.2098835,735
601,1782309408.3090103,268
602,1782309408.309027,657
603,1782309408.3090317,217
604,1782309408.3090353,731
605,1782309408.3090389,269
606,1782309408.309042,648
607,1782309408.309045,221
608,1782309408.3090482,727
609,1782309408.3090513,268
610,1782309408.3090537,651
611,1782309408.443887,224
612,1782309408.4438996,722
613,1782309408.4439049,280
614,1782309408.4439085,646
615,1782309408.443912,227
616,1782309408.443915,716
617,1782309408.4439178,279
618,1782309408.4439206,641
619,1782309408.4439232,232
620,1782309408.4439263,709
621,1782309408.492919,279
622,1782309408.4929352,637
623,1782309408.4929402,232
624,1782309408.4929442,708
625,1782309408.4929478,182
626,1782309408.4929507,635
627,1782309408.4929535,233
628,1782309408.4929564,704
629,1782309408.4929597,185
630,1782309408.4929624,629
631,1782309408.6572359,241
632,1782309408.6572576,700
633,1782309408.6572628,189
634,1782309408.657266,628
635,1782309408.6572692,242
636,1782309408.657272,694
637,1782309408.6572754,194
638,1782309408.657278,618
639,1782309408.6572793,249
640,1782309408.6572807,691
641,1782309408.7133017,198
642,1782309408.713314,611
643,1782309408.7133164,249
644,1782309408.713318,687
645,1782309408.7133198,201
646,1782309408.713321,611
647,1782309408.7133224,253
648,1782309408.7133238,682
649,1782309408.7133257,197
650,1782309408.7133272,766
651,1782309408.8577933,231
652,1782309408.8578103,743
653,1782309408.8578143,152
654,1782309408.857817,809
655,1782309408.8578196,195
656,1782309408.8578224,743
657,1782309408.8578253,146
658,1782309408.857828,808
659,1782309408.85783,196
660,1782309408.8578327,741
661,1782309409.0871844,149
662,1782309409.0872426,807
663,1782309409.0872471,196
664,1782309409.0872486,739
665,1782309409.0872502,151
666,1782309409.0872524,799
667,1782309409.087254,199
668,1782309409.0872564,733
669,1782309409.0872588,155
670,1782309409.0872602,795
671,1782309409.1298296,203
672,1782309409.1298382,729
673,1782309409.1298416,158
674,1782309409.1298432,793
675,1782309409.1298447,112
676,1782309409.1298456,732
677,1782309409.129847,157
678,1782309409.1298482,789
679,1782309409.12985,115
680,1782309409.1298509,724
681,1782309409.3279212,161
682,1782309409.3279393,789
683,1782309409.3279424,113
684,1782309409.327945,731
685,1782309409.3279474,159
686,1782309409.3279495,788
687,1782309409.3279517,114
688,1782309409.3279536,727
689,1782309409.327956,157
690,1782309409.3279579,787
691,1782309409.330004,114
692,1782309409.3300087,725
693,1782309409.3300114,157
694,1782309409.3300138,783
695,1782309409.3300154,120
696,1782309409.3300173,712
697,1782309409.330019,162
698,1782309409.3300207,779
699,1782309409.3300223,120
700,1782309409.3300242,839
701,1782309409.384265,168
702,1782309409.384279,771
703,1782309409.3842807,124
704,1782309409.384283,830
705,1782309409.3842847,172
706,1782309409.3842857,768
707,1782309409.3842866,127
708,1782309409.3842876,827
709,1782309409.3842888,175
710,1782309409.3842897,761
711,1782309409.3896983,132
712,1782309409.389707,824
713,1782309409.3897104,181
714,1782309409.389713,760
715,1782309409.3897152,132
716,1782309409.3897173,820
717,1782309409.3897192,179
718,1782309409.3897212,758
719,1782309409.3897228,135
720,1782309409.3897247,817
721,1782309409.6649976,180
722,1782309409.6650047,753
723,1782309409.6650066,136
724,1782309409.6650078,813
725,1782309409.6650095,98
726,1782309409.6650107,747
727,1782309409.6650116,139
728,1782309409.6650126,811
729,1782309409.6650136,99
730,1782309409.6650143,744
731,1782309409.9749756,143
732,1782309409.974994,807
733,1782309409.9749975,104
734,1782309409.9750004,738
